Entry	Entry Name	Protein names	Organism	Organism (ID)
A0A0J6VI21	A0A0J6VI21_9MYCO	Cutinase	Mycolicibacterium obuense	1807
A0A0J6VJ41	A0A0J6VJ41_9MYCO	Cutinase	Mycolicibacterium obuense	1807
A0A0J6VJ58	A0A0J6VJ58_9MYCO	Cutinase	Mycolicibacterium chlorophenolicum	37916
A0A0J6VKP2	A0A0J6VKP2_9MYCO	Cutinase	Mycolicibacterium chlorophenolicum	37916
A0A0J6VM80	A0A0J6VM80_9MYCO	Cutinase	Mycolicibacterium chlorophenolicum	37916
A0A0J6VPB9	A0A0J6VPB9_MYCCU	Cutinase	Mycolicibacterium chubuense (Mycobacterium chubuense)	1800
A0A0J6VSC7	A0A0J6VSC7_9MYCO	Cutinase	Mycolicibacterium chlorophenolicum	37916
A0A0J6VSR7	A0A0J6VSR7_9MYCO	Cutinase	Mycolicibacterium obuense	1807
A0A0J6VUQ2	A0A0J6VUQ2_MYCCU	Cutinase	Mycolicibacterium chubuense (Mycobacterium chubuense)	1800
A0A0J6VWC1	A0A0J6VWC1_9MYCO	Cutinase	Mycolicibacterium obuense	1807
A0A0J6VYH0	A0A0J6VYH0_9MYCO	Cutinase	Mycolicibacterium obuense	1807
A0A0J6WHV1	A0A0J6WHV1_MYCCU	Cutinase	Mycolicibacterium chubuense (Mycobacterium chubuense)	1800
A0A0J6WHZ5	A0A0J6WHZ5_9MYCO	Cutinase	Mycolicibacterium chlorophenolicum	37916
A0A0J6WQG8	A0A0J6WQG8_MYCCU	Cutinase	Mycolicibacterium chubuense (Mycobacterium chubuense)	1800
A0A0J6Y6D6	A0A0J6Y6D6_COCIT	Cutinase transcription factor 1 alpha	Coccidioides immitis RMSCC 2394	404692
A0A0J6YBX9	A0A0J6YBX9_COCIT	Cutinase transcription factor 1 alpha	Coccidioides immitis RMSCC 2394	404692
A0A0J6YFT0	A0A0J6YFT0_9MYCO	Cutinase	Mycolicibacterium chlorophenolicum	37916
A0A0J6ZJG9	A0A0J6ZJG9_MYCCU	Cutinase	Mycolicibacterium chubuense (Mycobacterium chubuense)	1800
A0A0J7AAM0	A0A0J7AAM0_9ACTN	Cutinase	Streptomyces roseus	66430
