Entry	Entry Name	Protein names	Organism	Organism (ID)
A0A3D8PPM1	A0A3D8PPM1_9BACI	Alkane 1-monooxygenase	Oceanobacillus arenosus	1229153
A0A3D9BLF6	A0A3D9BLF6_9RHOB	Alkane 1-monooxygenase	Rhodosalinus sediminis	1940533
A0A3D9FIJ5	A0A3D9FIJ5_9SPHN	Alkane 1-monooxygenase	Parasphingopyxis lamellibrachiae	680125
A0A3D9L125	A0A3D9L125_MARFU	Alkane 1-monooxygenase	Marinoscillum furvescens DSM 4134	1122208
A0A3D9LMQ7	A0A3D9LMQ7_9FLAO	Alkane 1-monooxygenase	Winogradskyella pacifica	664642
A0A3D9T6Z3	A0A3D9T6Z3_9ACTN	Alkane 1-monooxygenase	Thermomonospora umbrina	111806
A0A3D9XI85	A0A3D9XI85_PARVE	Alkane 1-monooxygenase	Paracoccus versutus (Thiobacillus versutus)	34007
A0A3E0DJN4	A0A3E0DJN4_9BACT	Alkane 1-monooxygenase	Algoriphagus antarcticus	238540
A0A3E0H3L2	A0A3E0H3L2_9GAMM	Alkane 1-monooxygenase	Paraperlucidibaca baekdonensis	748120
A0A3E0HJH2	A0A3E0HJH2_9FLAO	Alkane 1-monooxygenase	Tenacibaculum gallaicum	561505
A0A3E0TRQ2	A0A3E0TRQ2_9GAMM	Alkane 1-monooxygenase	Thalassotalea euphylliae	1655234
A0A3E0TXS0	A0A3E0TXS0_9GAMM	Alkane 1-monooxygenase	Thalassotalea euphylliae	1655234
A0A3E0UG39	A0A3E0UG39_9GAMM	Alkane 1-monooxygenase	Thalassotalea euphylliae	1655234
A0A3E0VKE6	A0A3E0VKE6_9MICO	Alkane 1-monooxygenase	Subtercola boreus	120213
A0A3E0VPH7	A0A3E0VPH7_9MICO	Alkane 1-monooxygenase	Subtercola boreus	120213
A0A3E0VWI5	A0A3E0VWI5_9MICO	Alkane 1-monooxygenase	Subtercola boreus	120213
A0A3E0W806	A0A3E0W806_9MICO	Alkane 1-monooxygenase	Subtercola boreus	120213
A0A3E1K8U3	A0A3E1K8U3_9GAMM	Alkane 1-monooxygenase	Wenzhouxiangella sediminis	1792836
A0A3E2N315	A0A3E2N315_MYCMR	Alkane 1-monooxygenase (EC 1.14.15.3)	Mycobacterium marinum	1781
A0A3G1VCE7	A0A3G1VCE7_9BACL	Alkane-1 monooxygenase	Geobacillus icigianus	1430331
A0A3G1VCF6	A0A3G1VCF6_9BACI	Alkane-1 monooxygenase	Aeribacillus pallidus	33936
A0A3G1VCG2	A0A3G1VCG2_9BACL	Alkane-1 monooxygenase	Geobacillus icigianus	1430331
A0A3G1VCG3	A0A3G1VCG3_9BACI	Alkane-1 monooxygenase	Aeribacillus pallidus	33936
A0A3G1VCH0	A0A3G1VCH0_9BACL	Alkane-1 monooxygenase	Geobacillus icigianus	1430331
A0A3G2T2P7	A0A3G2T2P7_9GAMM	Alkane 1-monooxygenase	Acinetobacter wuhouensis	1879050
A0A3G2UNC9	A0A3G2UNC9_SPHYA	Alkane 1-monooxygenase	Sphingobium yanoikuyae (Sphingomonas yanoikuyae)	13690
A0A3G7U8I3	A0A3G7U8I3_9PSED	Alkane-1 monooxygenase (EC 1.14.15.3)	Pseudomonas synxantha	47883
A0A3G8JVC2	A0A3G8JVC2_9ACTN	Alkane 1-monooxygenase (EC 1.14.15.3)	Gordonia insulae	2420509
A0A3G8LU81	A0A3G8LU81_9GAMM	Alkane 1-monooxygenase	Shewanella livingstonensis	150120
A0A3G9IBB9	A0A3G9IBB9_9ACTN	Alkane 1-monooxygenase	Nocardioides baekrokdamisoli	1804624
A0A3G9IX35	A0A3G9IX35_9BACL	Alkane 1-monooxygenase	Paenibacillus baekrokdamisoli	1712516
A0A3G9J722	A0A3G9J722_9BACL	Alkane 1-monooxygenase	Paenibacillus baekrokdamisoli	1712516
A0A3L8NZG2	A0A3L8NZG2_9ACTN	Alkane 1-monooxygenase	Nocardioides mangrovicus	2478913
A0A3L9Y1F5	A0A3L9Y1F5_9RHOB	Alkane 1-monooxygenase	Rhodophyticola porphyridii	1852017
A0A3L9Y7C3	A0A3L9Y7C3_9RHOB	Alkane 1-monooxygenase	Rhodophyticola porphyridii	1852017
A0A3M0ABF7	A0A3M0ABF7_9GAMM	Alkane 1-monooxygenase	Umboniibacter marinipuniceus	569599
A0A3M0CDZ4	A0A3M0CDZ4_9PROT	Alkane 1-monooxygenase	Eilatimonas milleporae	911205
A0A3M0GF39	A0A3M0GF39_9FLAO	Alkane 1-monooxygenase	Dokdonia sinensis	2479847
A0A3M0GRC8	A0A3M0GRC8_9CORY	Alkane 1-monooxygenase	Corynebacterium macginleyi	38290
A0A3M0I8F1	A0A3M0I8F1_9ACTN	Alkane 1-monooxygenase	Streptomyces shenzhenensis	943815
A0A3M0MHM1	A0A3M0MHM1_9RHOB	Alkane 1-monooxygenase	Paracoccus alkanivorans	2116655
A0A3M2LBY7	A0A3M2LBY7_9NOCA	Alkane 1-monooxygenase	Nocardia stercoris	2483361
A0A3M2LC83	A0A3M2LC83_9NOCA	Alkane 1-monooxygenase	Nocardia stercoris	2483361
A0A3M2LCQ0	A0A3M2LCQ0_9NOCA	Alkane 1-monooxygenase	Nocardia stercoris	2483361
A0A3M2LFB5	A0A3M2LFB5_9NOCA	Alkane 1-monooxygenase	Nocardia stercoris	2483361
A0A3M8FAF7	A0A3M8FAF7_9ACTN	Alkane 1-monooxygenase	Streptomyces xinghaiensis	1038928
A0A3M8K9X8	A0A3M8K9X8_9CORY	Alkane 1-monooxygenase	Corynebacterium alimapuense	1576874
A0A3N0CFC3	A0A3N0CFC3_9ACTN	Alkane 1-monooxygenase	Nocardioides marmoriginsengisoli	661483
A0A3N0DI17	A0A3N0DI17_9ACTN	Alkane 1-monooxygenase	Nocardioides marmorisolisilvae	1542737
A0A3N0FE70	A0A3N0FE70_9GAMM	Alkane 1-monooxygenase	Dickeya undicola	1577887
A0A3N0GKD1	A0A3N0GKD1_9ACTN	Alkane 1-monooxygenase	Nocardioides pocheonensis	661485
A0A3N0VJU4	A0A3N0VJU4_9GAMM	Alkane 1-monooxygenase	Stagnimonas aquatica	2689987
A0A3N1D071	A0A3N1D071_9ACTN	Alkane 1-monooxygenase	Actinocorallia herbida	58109
A0A3N1D6B0	A0A3N1D6B0_9ACTN	Alkane 1-monooxygenase	Actinocorallia herbida	58109
A0A3N1GU79	A0A3N1GU79_9ACTN	Alkane 1-monooxygenase	Couchioplanes caeruleus	56438
A0A3N2CZM0	A0A3N2CZM0_9ACTN	Alkane 1-monooxygenase	Nocardioides aurantiacus	86796
A0A3N2R6I1	A0A3N2R6I1_9RHOB	Alkane 1-monooxygenase	Histidinibacterium lentulum	2480588
A0A3N2R752	A0A3N2R752_9RHOB	Alkane 1-monooxygenase	Histidinibacterium lentulum	2480588
A0A3N4DST0	A0A3N4DST0_9GAMM	Alkane 1-monooxygenase	Shewanella psychromarinicola	2487742
A0A3N4UCN7	A0A3N4UCN7_9RHOB	Alkane 1-monooxygenase	Pacificibacter maritimus	762213
A0A3N4UKS7	A0A3N4UKS7_9RHOB	Alkane 1-monooxygenase	Pacificibacter maritimus	762213
