Entry	Entry Name	Protein names	Organism	Organism (ID)
A0A846ZBK9	A0A846ZBK9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura latina	163603
A0A846ZDK3	A0A846ZDK3_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura latina	163603
A0A852TYE9	A0A852TYE9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Spinactinospora alkalitolerans	687207
A0A852V791	A0A852V791_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium sandarakinum	1260955
A0A853BQM0	A0A853BQM0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Streptomonospora nanhaiensis	1323731
A0A8H9GVK2	A0A8H9GVK2_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Microbispora bryophytorum	1460882
A0A8H9LKD0	A0A8H9LKD0_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Microbispora bryophytorum	1460882
A0A8J3PRQ9	A0A8J3PRQ9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Planotetraspora kaengkrachanensis	575193
A0A8J3RZU3	A0A8J3RZU3_PLARO	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Planobispora rosea	35762
A0A8J3S661	A0A8J3S661_PLARO	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Planobispora rosea	35762
A0A8J3T081	A0A8J3T081_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Planobispora takensis	1367882
A0A8J3TJ48	A0A8J3TJ48_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Planotetraspora mira	58121
A0A8J3U475	A0A8J3U475_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Planotetraspora phitsanulokensis	575192
A0A8J3V6L7	A0A8J3V6L7_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Planotetraspora thailandica	487172
A0A8J3W4U6	A0A8J3W4U6_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Planobispora longispora	28887
A0A8J3W5P3	A0A8J3W5P3_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Planobispora longispora	28887
A0A8J3WQI5	A0A8J3WQI5_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Planobispora siamensis	936338
A0A8J3X7Y9	A0A8J3X7Y9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Planotetraspora mira	58121
A0A8J3XMP6	A0A8J3XMP6_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Planotetraspora silvatica	234614
A0A917Z115	A0A917Z115_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea cavernae	2045107
A0A918DIC6	A0A918DIC6_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea cavernae	2045107
A0A918XC99	A0A918XC99_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nocardiopsis kunsanensis	141693
A0A919UR82	A0A919UR82_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Acrocarpospora phusangensis	1070424
A0A931AKC4	A0A931AKC4_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea cypriaca	1187855
A0A931F5V8	A0A931F5V8_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea cypriaca	1187855
A0A931GV53	A0A931GV53_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura viridis	58110
A0A939PI20	A0A939PI20_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura barringtoniae	1427535
A0A939PKG5	A0A939PKG5_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura barringtoniae	1427535
