feature,spearman_rho_vs_latitude,p_value,q_value
total_hits_cpm,0.10417124460515603,0.6808125728030763,0.9020487613023759
AlkB,0.20521735187215742,0.4139817246096671,0.8279634492193342
Cutinase_like,0.08021185834597015,0.7517073010853133,0.9020487613023759
MHETase_like,-0.40626785396010856,0.0943341219641944,0.5660047317851664
PETase_like,-0.27425354689961745,0.27076042085116825,0.8122812625535047
Polyesterase_like,0.014501894433698684,0.9544560962094406,0.9544560962094405
