run_accession,AlkB,Cutinase_like,MHETase_like,PETase_like,Polyesterase_like
SRR28636381,523.1538461538462,501.96153846153845,66.03846153846153,5.346153846153846,0.0
SRR23961995,311.0769230769231,414.46153846153845,33.84615384615385,1.8846153846153848,0.0
SRR28636387,458.03846153846155,509.15384615384613,20.153846153846153,2.2692307692307696,0.0
SRR23872597,416.46153846153845,414.0769230769231,41.5,3.6153846153846154,0.0
SRR28636386,462.15384615384613,480.1923076923077,22.961538461538463,1.923076923076923,0.038461538461538464
SRR28925923,584.3076923076924,539.0384615384615,31.0,2.4615384615384617,0.0
SRR23872596,513.7307692307693,450.92307692307696,47.23076923076923,3.6153846153846154,0.0
SRR28636385,224.73076923076923,427.9230769230769,29.115384615384617,3.1153846153846154,0.0
SRR28925922,404.5769230769231,530.3076923076924,33.69230769230769,1.653846153846154,0.038461538461538464
SRR23872595,562.5384615384615,484.7307692307692,54.57692307692308,4.1923076923076925,0.0
SRR28636384,347.6923076923077,402.7307692307692,25.384615384615387,1.5769230769230769,0.0
SRR28956463,332.7692307692308,502.2307692307692,40.61538461538461,2.9615384615384612,0.0
SRR28636380,481.2692307692308,493.3076923076923,76.92307692307692,3.269230769230769,0.0
SRR23872594,494.3846153846154,459.1923076923077,47.0,4.0769230769230775,0.0
SRR28636383,336.0,497.9615384615385,50.42307692307693,3.576923076923077,0.038461538461538464
SRR28956462,409.46153846153845,471.5769230769231,37.30769230769231,3.576923076923077,0.0
SRR23872593,417.2307692307692,501.8461538461538,58.80769230769231,4.115384615384615,0.0
SRR28636382,314.2692307692308,478.1923076923077,46.269230769230774,3.1538461538461537,0.0
