run_accession,SRR28636381,SRR23961995,SRR28636387,SRR23872597,SRR28636386,SRR28925923,SRR23872596,SRR28636385,SRR28925922,SRR23872595,SRR28636384,SRR28956463,SRR28636380,SRR23872594,SRR28636383,SRR28956462,SRR23872593,SRR28636382
SRR28636381,0.0,0.18044801457496581,0.058131602721289054,0.11198221390124036,0.06265608110626567,0.06042399208001915,0.03835227272727268,0.23106485879609637,0.08854399285395269,0.03143226347221736,0.1702961761868599,0.11060912914784235,0.029517458387713875,0.043712246018671054,0.10510300986491464,0.08649173955296405,0.055087803704594686,0.1313544188261439
SRR23961995,0.18044801457496581,0.0,0.14605803659688507,0.07034774436090223,0.13176983667838543,0.2091838780830159,0.1430859814702572,0.07313829787234043,0.12114615726343853,0.1846343975283213,0.0371203599550056,0.07153579135003284,0.1616155198339581,0.13782288626562703,0.07684055875562606,0.09544592463953566,0.12661886376172085,0.050285494937862864
SRR28636387,0.058131602721289054,0.14605803659688507,0.0,0.08542796461636801,0.01853416930364187,0.07789345422617237,0.07099150250321284,0.19369731492753292,0.04531271464175687,0.07886284801879341,0.12602847068042314,0.08208263850287195,0.04737178763592573,0.05764594704055846,0.08779548527182596,0.054728370221327954,0.044945573719324255,0.11014511014511014
SRR23872597,0.11198221390124036,0.07034774436090223,0.08542796461636801,0.0,0.07166708406377824,0.14979940958292334,0.07394752898108607,0.13999112732291613,0.07471767304246367,0.11625650182439251,0.05944763721817633,0.09883797412848058,0.09314418919726643,0.06860579283259696,0.09828808199760117,0.038235231187282025,0.05724756206132629,0.09987459691866712
SRR28636386,0.06265608110626567,0.13176983667838543,0.01853416930364187,0.07166708406377824,0.0,0.08926954695252247,0.05388733705772817,0.17981190054939938,0.06125932983960616,0.06696842652023899,0.11161570512113929,0.0921820303383897,0.043311205371578614,0.0402964696703726,0.09326865269399007,0.04094138724322559,0.053688759101043745,0.09643267145711973
SRR28925923,0.06042399208001915,0.2091838780830159,0.07789345422617237,0.14979940958292334,0.08926954695252247,0.0,0.08105524079320114,0.25695430624008025,0.09026471864602921,0.044804024883570756,0.19616615959752637,0.14663643235071813,0.08839846263543244,0.08669347663617924,0.1515846891752093,0.12013617777119918,0.1092808718013272,0.17353654312435057
SRR23872596,0.03835227272727268,0.1430859814702572,0.07099150250321284,0.07394752898108607,0.05388733705772817,0.08105524079320114,0.0,0.19443564804342917,0.10276970753437928,0.04267585206671496,0.132811326826129,0.12646712423344028,0.05066230702064021,0.014012641839920782,0.11979955951587161,0.06962063009945808,0.07984981226533164,0.12283608051022941
SRR28636385,0.23106485879609637,0.07313829787234043,0.19369731492753292,0.13999112732291613,0.17981190054939938,0.25695430624008025,0.19443564804342917,0.0,0.17418785146628255,0.23516020960398593,0.10492122359872695,0.12408364083640837,0.21261966350511818,0.18926425059187765,0.12913559114806217,0.14752136342963834,0.178245921687164,0.10283151954856914
SRR28925922,0.08854399285395269,0.12114615726343853,0.04531271464175687,0.07471767304246367,0.06125932983960616,0.09026471864602921,0.10276970753437928,0.17418785146628255,0.0,0.109328689982217,0.11036774576905307,0.058498023715415064,0.07830810430950982,0.08946794422372835,0.06434854600020698,0.036567270362013946,0.035205579306132946,0.08638254520757285
SRR23872595,0.03143226347221736,0.1846343975283213,0.07886284801879341,0.11625650182439251,0.06696842652023899,0.044804024883570756,0.04267585206671496,0.23516020960398593,0.109328689982217,0.0,0.17449815189201334,0.13224806201550388,0.05234865879923818,0.048033820474507084,0.12265406500144667,0.09078840062965843,0.07985043010554624,0.13560794534612805
