run_accession,SRR28636381,SRR23961995,SRR28636387,SRR23872597,SRR28636386,SRR28925923,SRR23872596,SRR28636385,SRR28925922,SRR23872595,SRR28636384,SRR28956463,SRR28636380,SRR23872594,SRR28636383,SRR28956462,SRR23872593,SRR28636382
SRR28636381,0.0,0.22524947207155163,0.19179925883589466,0.18027927295420995,0.2407469529240767,0.24767009183081537,0.14393939393939512,0.31509629501684355,0.272815244901,0.1383368840149488,0.2898339525050827,0.20454899517058883,0.09752739885219856,0.1993776313380944,0.18018489447060998,0.18344480649402786,0.16119242797135613,0.2786618516607824
SRR23961995,0.22524947207155163,0.0,0.19214463018693967,0.14534774436090267,0.21650126830136798,0.31943051935031336,0.20183565676682144,0.21425531914893722,0.2574855619724584,0.2362512873326486,0.2504936882889662,0.1173186978140543,0.20740411292543112,0.20050529250337776,0.14349012383106793,0.1400955144756993,0.16871483728626668,0.2631351662588189
SRR28636387,0.19179925883589466,0.19214463018693967,0.0,0.19710497556550013,0.1431042276774315,0.26120379163904384,0.1969769627683055,0.3030755449387902,0.2792746825755073,0.21511553214528448,0.2778720996038508,0.16295061042142842,0.18967528313955856,0.21255134905787923,0.21328198615265015,0.13360160965794837,0.18286450001950877,0.2904512904512927
SRR23872597,0.18027927295420995,0.14534774436090267,0.19710497556550013,0.0,0.22773186409550217,0.2754901218681429,0.13394346146024044,0.28323556957657847,0.2525732383214586,0.16349662293300352,0.28583726936411047,0.15978951984214024,0.17539001016118594,0.16621665848470077,0.1640606258859456,0.14645783854333905,0.1344334251226739,0.2704675743461144
SRR28636386,0.2407469529240767,0.21650126830136798,0.1431042276774315,0.22773186409550217,0.0,0.2787093035888923,0.24103817504655772,0.3227023000279387,0.2822772748928089,0.26126961748228633,0.27885187716320503,0.21336889481580426,0.23397941909345316,0.24911254144724262,0.2548873271555054,0.17294733198965934,0.22321974704524594,0.29218929376249264
SRR28925923,0.24767009183081537,0.31943051935031336,0.26120379163904384,0.2754901218681429,0.2787093035888923,0.0,0.25336402266289215,0.3805028819647511,0.22186460292203253,0.2575041642587645,0.311937004116212,0.29761904761905056,0.28126467365785235,0.2806505569593249,0.3173704504843445,0.26660129146853895,0.2609469690158096,0.2831851595273857
SRR23872596,0.14393939393939512,0.20183565676682144,0.1969769627683055,0.13394346146024044,0.24103817504655772,0.25336402266289215,0.0,0.3290205835783788,0.25341855510362404,0.09198694706308977,0.3166577281990804,0.19839174755310215,0.1466364463930757,0.14324880054832184,0.1824776221939356,0.167133186429239,0.11285260421681016,0.27934233413402026
SRR28636385,0.31509629501684355,0.21425531914893722,0.3030755449387902,0.28323556957657847,0.3227023000279387,0.3805028819647511,0.3290205835783788,0.0,0.28972440395966204,0.34704922257538295,0.1983481943238917,0.22391143911439243,0.3148946518980374,0.3090967036969612,0.20283653258344692,0.28008234195849646,0.2752947691455749,0.27861749294639376
SRR28925922,0.272815244901,0.2574855619724584,0.2792746825755073,0.2525732383214586,0.2822772748928089,0.22186460292203253,0.25341855510362404,0.28972440395966204,0.0,0.26567131001778566,0.28017782081472037,0.23548991054712043,0.27857020759340106,0.2589000545298762,0.24565869812687766,0.2643860397991768,0.2215764691975827,0.24513965531878934
SRR23872595,0.1383368840149488,0.2362512873326486,0.21511553214528448,0.16349662293300352,0.26126961748228633,0.2575041642587645,0.09198694706308977,0.34704922257538295,0.26567131001778566,0.0,0.3310053299025945,0.22647286821705628,0.14608141542514474,0.1574765844236321,0.20509210145626572,0.20006827621522344,0.1329735305494678,0.28049599178612616
SRR28636384,0.2898339525050827,0.2504936882889662,0.2778720996038508,0.28583726936411047,0.27885187716320503,0.311937004116212,0.3166577281990804,0.1983481943238917,0.28017782081472037,0.3310053299025945,0.0,0.24742770874463083,0.30720463514988966,0.3004985647378781,0.2579676674364913,0.26857091123082005,0.27999300454704673,0.2303270706159012
SRR28956463,0.20454899517058883,0.1173186978140543,0.16295061042142842,0.15978951984214024,0.21336889481580426,0.29761904761905056,0.19839174755310215,0.22391143911439243,0.23548991054712043,0.22647286821705628,0.24742770874463083,0.0,0.19525732587980338,0.1965525692345409,0.1229452874964627,0.12994253732937464,0.14914728682170597,0.23906822856121063
SRR28636380,0.09752739885219856,0.20740411292543112,0.18967528313955856,0.17539001016118594,0.23397941909345316,0.28126467365785235,0.1466364463930757,0.3148946518980374,0.27857020759340106,0.14608141542514474,0.30720463514988966,0.19525732587980338,0.0,0.19391166308712487,0.17100886917960226,0.1746118223917201,0.1485006420424515,0.27917587654371356
SRR23872594,0.1993776313380944,0.20050529250337776,0.21255134905787923,0.16621665848470077,0.24911254144724262,0.2806505569593249,0.14324880054832184,0.3090967036969612,0.2589000545298762,0.1574765844236321,0.3004985647378781,0.1965525692345409,0.19391166308712487,0.0,0.1996585990367635,0.18496336667265725,0.13983698913906314,0.2694855238491998
SRR28636383,0.18018489447060998,0.14349012383106793,0.21328198615265015,0.1640606258859456,0.2548873271555054,0.3173704504843445,0.1824776221939356,0.20283653258344692,0.24565869812687766,0.20509210145626572,0.2579676674364913,0.1229452874964627,0.17100886917960226,0.1996585990367635,0.0,0.1812231714055009,0.14504319210201647,0.25179536207395065
SRR28956462,0.18344480649402786,0.1400955144756993,0.13360160965794837,0.14645783854333905,0.17294733198965934,0.26660129146853895,0.167133186429239,0.28008234195849646,0.2643860397991768,0.20006827621522344,0.26857091123082005,0.12994253732937464,0.1746118223917201,0.18496336667265725,0.1812231714055009,0.0,0.15053937214658067,0.27717569070411785
SRR23872593,0.16119242797135613,0.16871483728626668,0.18286450001950877,0.1344334251226739,0.22321974704524594,0.2609469690158096,0.11285260421681016,0.2752947691455749,0.2215764691975827,0.1329735305494678,0.27999300454704673,0.14914728682170597,0.1485006420424515,0.13983698913906314,0.14504319210201647,0.15053937214658067,0.0,0.23392589780898956
SRR28636382,0.2786618516607824,0.2631351662588189,0.2904512904512927,0.2704675743461144,0.29218929376249264,0.2831851595273857,0.27934233413402026,0.27861749294639376,0.24513965531878934,0.28049599178612616,0.2303270706159012,0.23906822856121063,0.27917587654371356,0.2694855238491998,0.25179536207395065,0.27717569070411785,0.23392589780898956,0.0
