protein_id	taxid	genus	species	source_db
A0A0K8P6T7		Piscinibacter	Piscinibacter sakaiensis (Ideonella sakaiensis)	UniProt
E9LVH9		Thermobifida	Thermobifida cellulosilytica	UniProt
F7IX06		Thermobifida	Thermobifida alba (Thermomonospora alba)	UniProt
G8GER6		Thermobifida	Thermobifida fusca (Thermomonospora fusca)	UniProt
G9BY57		Unknown	Unknown prokaryotic organism	UniProt
Q47RJ6		Thermobifida	Thermobifida fusca (strain YX)	UniProt
Q6A0I4		Thermobifida	Thermobifida fusca (Thermomonospora fusca)	UniProt
D4Q9N1		Thermobifida	Thermobifida alba (Thermomonospora alba)	UniProt
E9LVH8		Thermobifida	Thermobifida cellulosilytica	UniProt
Q47RJ7		Thermobifida	Thermobifida fusca (strain YX)	UniProt
A0A1N6XE42		Microbispora	Microbispora rosea	UniProt
A0A2P4UDA7		Actinomadura	Actinomadura rubteroloni	UniProt
A0A2P4UDC3		Actinomadura	Actinomadura rubteroloni	UniProt
A0A365HAJ8		Actinomadura	Actinomadura craniellae	UniProt
A0A4V0ZKB9		Streptomonospora	Streptomonospora litoralis	UniProt
A0A543NNU7		Haloactinospora	Haloactinospora alba	UniProt
A0A5J5K4W0		Microbispora	Microbispora cellulosiformans	UniProt
A0A5N6AZJ9		Microbispora	Microbispora catharanthi	UniProt
A0A5N6B8J9		Microbispora	Microbispora catharanthi	UniProt
A0A7K1L1I6		Actinomadura	Actinomadura litoris	UniProt
A0A7W7RJC2		Lipingzhangella	Lipingzhangella halophila	UniProt
A0A7X0IJV2		Sphaerisporangium	Sphaerisporangium rubeum	UniProt
A0A841IUE8		Nocardiopsis	Nocardiopsis algeriensis	UniProt
A0A8H9GXL4		Microbispora	Microbispora bryophytorum	UniProt
A0A917R069		Sphaerisporangium	Sphaerisporangium melleum	UniProt
A0A919R7S7		Sphaerisporangium	Sphaerisporangium rufum	UniProt
A0A940WR16		Microbispora	Microbispora oryzae	UniProt
A0A941ALA2		Microbispora	Microbispora oryzae	UniProt
A0A0C2G8Q0		Streptomonospora	Streptomonospora alba	UniProt
A0A147KJY8		Thermobifida	Thermobifida cellulosilytica TB100	UniProt
A0A161LKE9		Planomonospora	Planomonospora sphaerica	UniProt
A0A1G7Z2H0		Nonomuraea	Nonomuraea jiangxiensis	UniProt
A0A1G8SHF7		Nonomuraea	Nonomuraea maritima	UniProt
A0A1H5T4B9		Thermomonospora	Thermomonospora echinospora	UniProt
A0A1H5UML9		Nonomuraea	Nonomuraea solani	UniProt
A0A1H6AWM6		Thermomonospora	Thermomonospora echinospora	UniProt
A0A1H6C9P0		Thermomonospora	Thermomonospora echinospora	UniProt
A0A1H6CN89		Thermomonospora	Thermomonospora echinospora	UniProt
A0A1H6EII4		Nonomuraea	Nonomuraea solani	UniProt
A0A1H6EZ24		Nonomuraea	Nonomuraea solani	UniProt
A0A1H7U3G5		Nonomuraea	Nonomuraea pusilla	UniProt
A0A1H8CDJ8		Nonomuraea	Nonomuraea pusilla	UniProt
A0A1H8CEP3		Nonomuraea	Nonomuraea pusilla	UniProt
A0A1I0JU31		Nonomuraea	Nonomuraea wenchangensis	UniProt
A0A1I4AJK7		Streptosporangium	Streptosporangium canum	UniProt
A0A1I4CKC4		Streptosporangium	Streptosporangium canum	UniProt
A0A1I4D078		Streptosporangium	Streptosporangium canum	UniProt
A0A1I5FBR0		Actinomadura	Actinomadura madurae	UniProt
A0A1I5RT09		Actinomadura	Actinomadura madurae	UniProt
A0A1M4E4K7		Nonomuraea	Nonomuraea gerenzanensis	UniProt
A0A1M6M213		Nocardiopsis	Nocardiopsis flavescens	UniProt
A0A1N6SMU6		Microbispora	Microbispora rosea	UniProt
A0A1T4KK94		Marinactinospora	Marinactinospora thermotolerans DSM 45154	UniProt
A0A1U9ZTE6		[Actinomadura]	[Actinomadura] parvosata subsp. kistnae	UniProt
A0A1V0A5L2		[Actinomadura]	[Actinomadura] parvosata subsp. kistnae	UniProt
A0A1V3C6I0		Nocardiopsis	Nocardiopsis sinuspersici	UniProt
A0A238V211		Actinomadura	Actinomadura mexicana	UniProt
A0A239AX86		Streptosporangium	Streptosporangium subroseum	UniProt
A0A239F412		Streptosporangium	Streptosporangium subroseum	UniProt
A0A239F952		Actinomadura	Actinomadura meyerae	UniProt
A0A239NYM8		Actinomadura	Actinomadura meyerae	UniProt
A0A243RG01		Streptosporangium	Streptosporangium minutum	UniProt
A0A243RI45		Streptosporangium	Streptosporangium minutum	UniProt
A0A243RTG5		Streptosporangium	Streptosporangium minutum	UniProt
A0A2C9ZMQ8		Streptosporangium	Streptosporangium minutum	UniProt
A0A2P4UD72		Actinomadura	Actinomadura rubteroloni	UniProt
A0A2P4UDP6		Actinomadura	Actinomadura rubteroloni	UniProt
A0A2P4UJS9		Actinomadura	Actinomadura rubteroloni	UniProt
A0A2P4UNN9		Actinomadura	Actinomadura rubteroloni	UniProt
A0A2P4UPT6		Actinomadura	Actinomadura rubteroloni	UniProt
A0A2T0MSV4		Nonomuraea	Nonomuraea fuscirosea	UniProt
A0A2T0PXG2		Allonocardiopsis	Allonocardiopsis opalescens	UniProt
A0A2W2EN64		Nonomuraea	Nonomuraea aridisoli	UniProt
A0A365GXM3		Actinomadura	Actinomadura craniellae	UniProt
A0A365H0G7		Actinomadura	Actinomadura craniellae	UniProt
A0A365H682		Actinomadura	Actinomadura craniellae	UniProt
A0A365H6K8		Actinomadura	Actinomadura craniellae	UniProt
A0A365H6N6		Actinomadura	Actinomadura craniellae	UniProt
A0A365H6Y8		Actinomadura	Actinomadura craniellae	UniProt
A0A365H755		Actinomadura	Actinomadura craniellae	UniProt
A0A366LTE2		Spongiactinospora	Spongiactinospora rosea	UniProt
A0A367F9K2		Sphaerisporangium	Sphaerisporangium album	UniProt
A0A3A4B4E3		Bailinhaonella	Bailinhaonella thermotolerans	UniProt
A0A3D9SN04		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SNA7		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SP59		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SPQ3		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SRH8		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SRX0		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SUD5		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SUJ1		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SVD4		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3N0E3M2		Halostreptopolyspora	Halostreptopolyspora alba	UniProt
A0A3N0EHU6		Halostreptopolyspora	Halostreptopolyspora alba	UniProt
A0A3N1CRP0		Actinocorallia	Actinocorallia herbida	UniProt
A0A3N1D7Y0		Actinocorallia	Actinocorallia herbida	UniProt
A0A438MM65		Nonomuraea	Nonomuraea polychroma	UniProt
A0A4R4N608		Actinomadura	Actinomadura bangladeshensis	UniProt
A0A4R4NB20		Actinomadura	Actinomadura bangladeshensis	UniProt
A0A4R4W6Q2		Nonomuraea	Nonomuraea diastatica	UniProt
A0A4R4ZDD0		Nonomuraea	Nonomuraea terrae	UniProt
A0A4R5ARP1		Actinomadura	Actinomadura darangshiensis	UniProt
A0A4R5FXI3		Nonomuraea	Nonomuraea mesophila	UniProt
A0A4R6UW92		Actinorugispora	Actinorugispora endophytica	UniProt
A0A4R6V0N6		Actinorugispora	Actinorugispora endophytica	UniProt
A0A4U3MI12		Herbidospora	Herbidospora galbida	UniProt
A0A4V2XJ75		Nonomuraea	Nonomuraea longispora	UniProt
A0A4V2YA86		Nonomuraea	Nonomuraea deserti	UniProt
A0A4V2YB24		Nonomuraea	Nonomuraea deserti	UniProt
A0A543CJP3		Actinoallomurus	Actinoallomurus bryophytorum	UniProt
A0A543IKT7		Actinomadura	Actinomadura hallensis	UniProt
A0A544Z467		Microbispora	Microbispora hainanensis	UniProt
A0A5C4J1R7		Actinomadura	Actinomadura soli	UniProt
A0A5C4VLV1		Nonomuraea	Nonomuraea phyllanthi	UniProt
A0A5C4WSK7		Nonomuraea	Nonomuraea phyllanthi	UniProt
A0A5J5K6L1		Microbispora	Microbispora cellulosiformans	UniProt
A0A5M3W626		Acrocarpospora	Acrocarpospora corrugata	UniProt
A0A5M3X7T2		Acrocarpospora	Acrocarpospora macrocephala	UniProt
A0A5M3XC53		Acrocarpospora	Acrocarpospora pleiomorpha	UniProt
A0A5N6B6N8		Microbispora	Microbispora catharanthi	UniProt
A0A5S4FJI0		Nonomuraea	Nonomuraea zeae	UniProt
A0A5S4G823		Nonomuraea	Nonomuraea zeae	UniProt
A0A5S4GNH7		Nonomuraea	Nonomuraea zeae	UniProt
A0A5S4H3R9		Actinomadura	Actinomadura geliboluensis	UniProt
A0A6H9YZG5		Actinomadura	Actinomadura rudentiformis	UniProt
A0A6I4MG66		Actinomadura	Actinomadura physcomitrii	UniProt
A0A6I4VZW1		Actinomadura	Actinomadura rayongensis	UniProt
A0A6I4W489		Actinomadura	Actinomadura rayongensis	UniProt
A0A6I4W6E8		Actinomadura	Actinomadura rayongensis	UniProt
A0A6I4W9J4		Actinomadura	Actinomadura rayongensis	UniProt
A0A6I4WCS2		Actinomadura	Actinomadura rayongensis	UniProt
A0A6I4WH26		Actinomadura	Actinomadura rayongensis	UniProt
A0A6L3W3E9		Actinomadura	Actinomadura montaniterrae	UniProt
A0A6L9QSN6		Actinomadura	Actinomadura bangladeshensis	UniProt
A0A6L9QWC7		Actinomadura	Actinomadura bangladeshensis	UniProt
A0A6L9QZF0		Actinomadura	Actinomadura bangladeshensis	UniProt
A0A6P2BTG6		Trebonia	Trebonia kvetii	UniProt
A0A7C9NKH2		Herbidospora	Herbidospora solisilvae	UniProt
A0A7D3VX47		Actinomadura	Actinomadura verrucosospora	UniProt
A0A7D3W2P3		Actinomadura	Actinomadura verrucosospora	UniProt
A0A7K0BNG8		Actinomadura	Actinomadura macrotermitis	UniProt
A0A7K0BW34		Actinomadura	Actinomadura macrotermitis	UniProt
A0A7K0BW49		Actinomadura	Actinomadura macrotermitis	UniProt
A0A7K0BXG1		Actinomadura	Actinomadura macrotermitis	UniProt
A0A7K0BY86		Actinomadura	Actinomadura macrotermitis	UniProt
A0A7K0BYW6		Actinomadura	Actinomadura macrotermitis	UniProt
A0A7K0C0L9		Actinomadura	Actinomadura macrotermitis	UniProt
A0A7W0CGN6		Nonomuraea	Nonomuraea soli	UniProt
A0A7W0CJQ8		Nonomuraea	Nonomuraea soli	UniProt
A0A7W0CKZ2		Nonomuraea	Nonomuraea soli	UniProt
A0A7W0HRK2		Nonomuraea	Nonomuraea soli	UniProt
A0A7W0HTY1		Nonomuraea	Nonomuraea soli	UniProt
A0A7W3LQR6		Actinomadura	Actinomadura namibiensis	UniProt
A0A7W3LQW1		Actinomadura	Actinomadura namibiensis	UniProt
A0A7W3LR11		Actinomadura	Actinomadura namibiensis	UniProt
A0A7W3LXJ4		Actinomadura	Actinomadura namibiensis	UniProt
A0A7W3MTE8		Thermomonospora	Thermomonospora cellulosilytica	UniProt
A0A7W3MTQ6		Thermomonospora	Thermomonospora cellulosilytica	UniProt
A0A7W3MYU4		Thermomonospora	Thermomonospora cellulosilytica	UniProt
A0A7W3N2I8		Thermomonospora	Thermomonospora cellulosilytica	UniProt
A0A7W3R6L2		Thermomonospora	Thermomonospora cellulosilytica	UniProt
A0A7W5VR51		Nonomuraea	Nonomuraea dietziae	UniProt
A0A7W7IIG7		Actinomadura	Actinomadura livida	UniProt
A0A7W7QPZ7		Streptosporangium	Streptosporangium saharense	UniProt
A0A7W7RIU6		Lipingzhangella	Lipingzhangella halophila	UniProt
A0A7W7RNW4		Lipingzhangella	Lipingzhangella halophila	UniProt
A0A7W7VS92		Streptosporangium	Streptosporangium saharense	UniProt
A0A7W7W8Y9		Streptosporangium	Streptosporangium album	UniProt
A0A7W8AD49		Nonomuraea	Nonomuraea endophytica	UniProt
A0A7W8EHH8		Nonomuraea	Nonomuraea endophytica	UniProt
A0A7W9GDV7		Nonomuraea	Nonomuraea jabiensis	UniProt
A0A7W9GH83		Nonomuraea	Nonomuraea jabiensis	UniProt
A0A7W9IBT4		Streptosporangium	Streptosporangium becharense	UniProt
A0A7W9IC21		Streptosporangium	Streptosporangium becharense	UniProt
A0A7W9IMV4		Streptosporangium	Streptosporangium becharense	UniProt
A0A7W9LAQ6		Nonomuraea	Nonomuraea jabiensis	UniProt
A0A7X0EVU5		Nonomuraea	Nonomuraea muscovyensis	UniProt
A0A7X0L0G3		Actinomadura	Actinomadura coerulea	UniProt
A0A7X0U3W9		Nonomuraea	Nonomuraea rubra	UniProt
A0A7X0U566		Nonomuraea	Nonomuraea rubra	UniProt
A0A7X6RRV0		Nocardiopsis	Nocardiopsis alborubida	UniProt
A0A7Y6I7B0		Nonomuraea	Nonomuraea montanisoli	UniProt
A0A7Y6MCQ0		Nonomuraea	Nonomuraea rhodomycinica	UniProt
A0A7Y6MET4		Nonomuraea	Nonomuraea rhodomycinica	UniProt
A0A7Y9EM44		Actinomadura	Actinomadura luteofluorescens	UniProt
A0A7Y9GI10		Actinomadura	Actinomadura citrea	UniProt
A0A7Y9KFU4		Actinomadura	Actinomadura citrea	UniProt
A0A7Y9XCA4		Nocardiopsis	Nocardiopsis sinuspersici	UniProt
A0A7Z0ENR9		Nocardiopsis	Nocardiopsis aegyptia	UniProt
A0A7Z0ET41		Nocardiopsis	Nocardiopsis aegyptia	UniProt
A0A7Z0JAZ5		Nocardiopsis	Nocardiopsis aegyptia	UniProt
A0A840NXT3		Thermocatellispora	Thermocatellispora tengchongensis	UniProt
A0A840P2P8		Thermocatellispora	Thermocatellispora tengchongensis	UniProt
A0A840WFK4		Nocardiopsis	Nocardiopsis metallicus	UniProt
A0A841DCU0		Planomonospora	Planomonospora venezuelensis	UniProt
A0A841ED77		Streptomonospora	Streptomonospora salina	UniProt
A0A846ZBK9		Actinomadura	Actinomadura latina	UniProt
A0A846ZDK3		Actinomadura	Actinomadura latina	UniProt
A0A852TYE9		Spinactinospora	Spinactinospora alkalitolerans	UniProt
A0A852V791		Streptosporangium	Streptosporangium sandarakinum	UniProt
A0A853BQM0		Streptomonospora	Streptomonospora nanhaiensis	UniProt
A0A8H9GVK2		Microbispora	Microbispora bryophytorum	UniProt
A0A8H9LKD0		Microbispora	Microbispora bryophytorum	UniProt
A0A8J3PRQ9		Planotetraspora	Planotetraspora kaengkrachanensis	UniProt
A0A8J3RZU3		Planobispora	Planobispora rosea	UniProt
A0A8J3S661		Planobispora	Planobispora rosea	UniProt
A0A8J3T081		Planobispora	Planobispora takensis	UniProt
A0A8J3TJ48		Planotetraspora	Planotetraspora mira	UniProt
A0A8J3U475		Planotetraspora	Planotetraspora phitsanulokensis	UniProt
A0A8J3V6L7		Planotetraspora	Planotetraspora thailandica	UniProt
A0A8J3W4U6		Planobispora	Planobispora longispora	UniProt
A0A8J3W5P3		Planobispora	Planobispora longispora	UniProt
A0A8J3WQI5		Planobispora	Planobispora siamensis	UniProt
A0A8J3X7Y9		Planotetraspora	Planotetraspora mira	UniProt
A0A8J3XMP6		Planotetraspora	Planotetraspora silvatica	UniProt
A0A917Z115		Nonomuraea	Nonomuraea cavernae	UniProt
A0A918DIC6		Nonomuraea	Nonomuraea cavernae	UniProt
A0A918XC99		Nocardiopsis	Nocardiopsis kunsanensis	UniProt
A0A919UR82		Acrocarpospora	Acrocarpospora phusangensis	UniProt
A0A931AKC4		Nonomuraea	Nonomuraea cypriaca	UniProt
A0A931F5V8		Nonomuraea	Nonomuraea cypriaca	UniProt
A0A931GV53		Actinomadura	Actinomadura viridis	UniProt
A0A939PI20		Actinomadura	Actinomadura barringtoniae	UniProt
A0A939PKG5		Actinomadura	Actinomadura barringtoniae	UniProt
A0A939TAR4		Actinomadura	Actinomadura barringtoniae	UniProt
A0A975LD17		Nocardiopsis	Nocardiopsis eucommiae	UniProt
A0A9P2TBN9		Thermobifida	Thermobifida fusca TM51	UniProt
A0A9P2WRG3		Thermobifida	Thermobifida fusca TM51	UniProt
A0A9W6UXL5		Actinomadura	Actinomadura rubrobrunea	UniProt
A0A9X2K0A4		Nonomuraea	Nonomuraea thailandensis	UniProt
A0A9X2K5K6		Nonomuraea	Nonomuraea thailandensis	UniProt
A0A9X2K9B4		Nonomuraea	Nonomuraea thailandensis	UniProt
A0A9X3NJC1		Streptomonospora	Streptomonospora mangrovi	UniProt
A0A9X7PFK9		Streptosporangium	Streptosporangium nondiastaticum	UniProt
A0A9Y2YA38		Thermobifida	Thermobifida cellulosilytica TB100	UniProt
A0AA37BLQ4		Planomonospora	Planomonospora parontospora	UniProt
A0AA97LXT2		Thermobifida	Thermobifida halotolerans	UniProt
A0AA97M4A3		Thermobifida	Thermobifida halotolerans	UniProt
D1A2H1		Thermomonospora	Thermomonospora curvata (strain ATCC 19995 / DSM 43183 / JCM 3096 / KCTC 9072 / NBRC 15933 / NCIMB 10081 / Henssen B9)	UniProt
D1A2K6		Thermomonospora	Thermomonospora curvata (strain ATCC 19995 / DSM 43183 / JCM 3096 / KCTC 9072 / NBRC 15933 / NCIMB 10081 / Henssen B9)	UniProt
D1A646		Thermomonospora	Thermomonospora curvata (strain ATCC 19995 / DSM 43183 / JCM 3096 / KCTC 9072 / NBRC 15933 / NCIMB 10081 / Henssen B9)	UniProt
D1A9G5		Thermomonospora	Thermomonospora curvata (strain ATCC 19995 / DSM 43183 / JCM 3096 / KCTC 9072 / NBRC 15933 / NCIMB 10081 / Henssen B9)	UniProt
D2B3P3		Streptosporangium	Streptosporangium roseum (strain ATCC 12428 / DSM 43021 / JCM 3005 / KCTC 9067 / NCIMB 10171 / NRRL 2505 / NI 9100)	UniProt
D2B3R3		Streptosporangium	Streptosporangium roseum (strain ATCC 12428 / DSM 43021 / JCM 3005 / KCTC 9067 / NCIMB 10171 / NRRL 2505 / NI 9100)	UniProt
D2B6W3		Streptosporangium	Streptosporangium roseum (strain ATCC 12428 / DSM 43021 / JCM 3005 / KCTC 9067 / NCIMB 10171 / NRRL 2505 / NI 9100)	UniProt
D2BF75		Streptosporangium	Streptosporangium roseum (strain ATCC 12428 / DSM 43021 / JCM 3005 / KCTC 9067 / NCIMB 10171 / NRRL 2505 / NI 9100)	UniProt
D2BFB4		Streptosporangium	Streptosporangium roseum (strain ATCC 12428 / DSM 43021 / JCM 3005 / KCTC 9067 / NCIMB 10171 / NRRL 2505 / NI 9100)	UniProt
D7AYZ5		Nocardiopsis	Nocardiopsis dassonvillei (strain ATCC 23218 / DSM 43111 / CIP 107115 / JCM 7437 / KCTC 9190 / NBRC 14626 / NCTC 10488 / NRRL B-5397 / IMRU 509) (Actinomadura dassonvillei)	UniProt
E5BBQ2		Thermobifida	Thermobifida fusca (Thermomonospora fusca)	UniProt
E9LVH7		Thermobifida	Thermobifida alba (Thermomonospora alba)	UniProt
H6WX58		Thermobifida	Thermobifida halotolerans	UniProt
Q6A0I3		Thermobifida	Thermobifida fusca (Thermomonospora fusca)	UniProt
A0A3D9SLY3		Thermomonospora	Thermomonospora umbrina	UniProt
A0A7W7N125		Actinomadura	Actinomadura livida	UniProt
A0A8H9LH03		Microbispora	Microbispora bryophytorum	UniProt
A0A0K8P8E7		Piscinibacter	Piscinibacter sakaiensis (Ideonella sakaiensis)	UniProt
A0A2Z2P0Q7		Granulosicoccus	Granulosicoccus antarcticus IMCC3135	UniProt
A0A1X1PM24		Burkholderia	Burkholderia puraquae	UniProt
A0A221JW97		Pseudosulfitobacter	Pseudosulfitobacter pseudonitzschiae	UniProt
A0A222E0D5		Antarctobacter	Antarctobacter heliothermus	UniProt
A0A2N7W7Z2		Paraburkholderia	Paraburkholderia rhynchosiae	UniProt
A0A2N7WIJ2		Paraburkholderia	Paraburkholderia rhynchosiae	UniProt
A0A2N7WT19		Paraburkholderia	Paraburkholderia rhynchosiae	UniProt
A0A2R8CAB2		Falsiruegeria	Falsiruegeria mediterranea M17	UniProt
A0A2R8CG46		Falsiruegeria	Falsiruegeria mediterranea M17	UniProt
A0A2R8CH46		Kushneria	Kushneria phyllosphaerae	UniProt
A0A508SWH9		Bradyrhizobium	Bradyrhizobium ivorense	UniProt
A0A554WIU4		Tepidimonas	Tepidimonas aquatica	UniProt
A0A5E6YM10		Pseudomonas	Pseudomonas fluorescens	UniProt
A0A5E6YN35		Pseudomonas	Pseudomonas fluorescens	UniProt
A0A5J4RG58		termite	termite gut metagenome	UniProt
A0A5J4RMF3		termite	termite gut metagenome	UniProt
A0A5M8NZN6		Candidatus	Candidatus Ordinivivax streblomastigis	UniProt
A0A679IV36		Variovorax	Variovorax paradoxus	UniProt
A0A679JAU7		Variovorax	Variovorax paradoxus	UniProt
A0A679JF94		Variovorax	Variovorax paradoxus	UniProt
A0A679JIX2		Variovorax	Variovorax paradoxus	UniProt
A0A679JQL4		Variovorax	Variovorax paradoxus	UniProt
A0A679JSQ1		Variovorax	Variovorax paradoxus	UniProt
A0A6J4ZUJ9		Paraburkholderia	Paraburkholderia phenoliruptrix	UniProt
A0A6J4ZXS4		Paraburkholderia	Paraburkholderia sediminicola	UniProt
A0A6J5AHH5		Paraburkholderia	Paraburkholderia sediminicola	UniProt
A0A6J5B0A2		Paraburkholderia	Paraburkholderia phenoliruptrix	UniProt
A0A6J5BKP3		Paraburkholderia	Paraburkholderia phenoliruptrix	UniProt
A0A6J5CDR5		Paraburkholderia	Paraburkholderia sediminicola	UniProt
A0A6J5CN90		Paraburkholderia	Paraburkholderia phenoliruptrix	UniProt
A0A6J5DFN4		Paraburkholderia	Paraburkholderia humisilvae	UniProt
A0A6J5F6R0		Paraburkholderia	Paraburkholderia solisilvae	UniProt
A0A6J5F7D9		Paraburkholderia	Paraburkholderia humisilvae	UniProt
A0A6J5FRN3		Paraburkholderia	Paraburkholderia caffeinitolerans	UniProt
A0A6J5FSP4		Paraburkholderia	Paraburkholderia fynbosensis	UniProt
A0A6J5FX66		Paraburkholderia	Paraburkholderia fynbosensis	UniProt
A0A6J5GJP1		Paraburkholderia	Paraburkholderia fynbosensis	UniProt
A0A6J5GMP7		Paraburkholderia	Paraburkholderia caffeinitolerans	UniProt
A0A6J5K194		Paraburkholderia	Paraburkholderia phenoliruptrix	UniProt
A0A6J5K7F0		Paraburkholderia	Paraburkholderia phenoliruptrix	UniProt
A0A6J5KA99		Paraburkholderia	Paraburkholderia phenoliruptrix	UniProt
A0A6J5KBT9		Paraburkholderia	Paraburkholderia phenoliruptrix	UniProt
A0A6S7AZ84		Paraburkholderia	Paraburkholderia ultramafica	UniProt
A0A6S7B2U3		Pararobbsia	Pararobbsia alpina	UniProt
A0A6S7BQ61		Paraburkholderia	Paraburkholderia ultramafica	UniProt
A0A6V7C0V6		Xanthomonas	Xanthomonas hortorum pv. pelargonii	UniProt
A0A7K0BXE1		Actinomadura	Actinomadura macrotermitis	UniProt
A0A7K0C3G9		Actinomadura	Actinomadura macrotermitis	UniProt
A0A7V8FLJ6		Paracidovorax	Paracidovorax wautersii	UniProt
A0A7V8FMZ1		Paracidovorax	Paracidovorax wautersii	UniProt
A0A7V8FRR3		Paracidovorax	Paracidovorax wautersii	UniProt
A0A7V8FSD0		Paracidovorax	Paracidovorax wautersii	UniProt
A0A833PRI7		Burkholderia	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	UniProt
A0A833V490		Burkholderia	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	UniProt
A0A8B6IV45		Klebsiella	Klebsiella africana	UniProt
A0A8D6Y728		Xanthomonas	Xanthomonas arboricola pv. corylina	UniProt
A0A916IWZ2		Cupriavidus	Cupriavidus yeoncheonensis	UniProt
A0A916IYK8		Cupriavidus	Cupriavidus yeoncheonensis	UniProt
A0A916J7N6		Dyadobacter	Dyadobacter helix	UniProt
A0A916JIF2		Dyadobacter	Dyadobacter helix	UniProt
A0A9N8MRT6		Paraburkholderia	Paraburkholderia domus	UniProt
A0A9N8MST5		Paraburkholderia	Paraburkholderia domus	UniProt
A0A9N8RXC7		Paraburkholderia	Paraburkholderia saeva	UniProt
A0A9P0UZZ8		Klebsiella	Klebsiella variicola	UniProt
A0AA37HC32		Methylobacterium	Methylobacterium frigidaeris	UniProt
A0AA37M8P3		Methylobacterium	Methylobacterium frigidaeris	UniProt
A0AAD2BXW6		Ralstonia	Ralstonia flatus	UniProt
A0AAD2EFU0		Ralstonia	Ralstonia mannitolilytica	UniProt
A0AAD2ENM4		Ralstonia	Ralstonia wenshanensis	UniProt
A0AAI8PT37		Streptomyces	Streptomyces griseorubiginosus	UniProt
A0AAQ0NAT2		Pseudomonas	Pseudomonas syringae pv. tomato	UniProt
A0AB72X3F8		Ralstonia	Ralstonia edaphi	UniProt
A0ABC8Q7J3		Ralstonia	Ralstonia holmesii	UniProt
A0ABM8NLC2		Paraburkholderia	Paraburkholderia metrosideri	UniProt
A0ABM8NWG4		Paraburkholderia	Paraburkholderia metrosideri	UniProt
A0ABM8P114		Paraburkholderia	Paraburkholderia hiiakae	UniProt
A0ABM8QDP5		Paraburkholderia	Paraburkholderia nemoris	UniProt
A0ABM8RV28		Paraburkholderia	Paraburkholderia aspalathi	UniProt
A0ABM8SI20		Paraburkholderia	Paraburkholderia nemoris	UniProt
A0ABM8SWU5		Paraburkholderia	Paraburkholderia aspalathi	UniProt
A0ABM8TRW1		Cupriavidus	Cupriavidus numazuensis	UniProt
A0ABM8TU52		Cupriavidus	Cupriavidus numazuensis	UniProt
A0ABM8U027		Paraburkholderia	Paraburkholderia gardini	UniProt
A0ABM8WC33		Cupriavidus	Cupriavidus pinatubonensis	UniProt
A0ABM9C468		Paenibacillus	Paenibacillus allorhizoplanae	UniProt
A0ABM9IH72		Ralstonia	Ralstonia pickettii (Burkholderia pickettii)	UniProt
A0ABN7I7H8		Paraburkholderia	Paraburkholderia metrosideri	UniProt
A0ABN7LAU6		Paraburkholderia	Paraburkholderia haematera	UniProt
A0ABN7LBG2		Paraburkholderia	Paraburkholderia nemoris	UniProt
A0ABN7LCU1		Paraburkholderia	Paraburkholderia haematera	UniProt
A0ABN7LKU4		Paraburkholderia	Paraburkholderia haematera	UniProt
A0ABN7MV77		Paraburkholderia	Paraburkholderia nemoris	UniProt
A0ABN7N5U9		Paraburkholderia	Paraburkholderia aspalathi	UniProt
A0ABN7Y2E8		Cupriavidus	Cupriavidus pinatubonensis	UniProt
A0ABN7Y5P6		Cupriavidus	Cupriavidus respiraculi	UniProt
A0ABN7YA11		Cupriavidus	Cupriavidus laharis	UniProt
A0ABN7YNI5		Cupriavidus	Cupriavidus respiraculi	UniProt
A0ABN7ZQU5		Cupriavidus	Cupriavidus pinatubonensis	UniProt
A0ABN9IQH8		Ralstonia	Ralstonia psammae	UniProt
A0ABQ4QT49		Methylobacterium	Methylobacterium crusticola	UniProt
A0ABQ4SDE2		Methylobacterium	Methylobacterium isbiliense	UniProt
A0ABT3DXJ5		Xanthomonas	Xanthomonas sacchari	UniProt
A0ABU2E1S4		Burkholderia	Burkholderia pseudomultivorans	UniProt
A0ABU2E3P5		Burkholderia	Burkholderia pseudomultivorans	UniProt
A0ABX6CDP8		Acinetobacter	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81)	UniProt
A0A024SC78		Hypocrea	Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei)	UniProt
A0A2J8C362		Verticillium	Verticillium dahliae (Verticillium wilt)	UniProt
A6WFI5		Kineococcus	Kineococcus radiotolerans (strain ATCC BAA-149 / DSM 14245 / SRS30216)	UniProt
