pseudo_F,R2,p_value,n,groups,permutations,dataset,factor
50.36612655574204,0.9179821816758258,0.003,12,3,999,enzyme_balanced_core,season
0.031994456405501304,0.011855677666219415,1.0,12,4,999,enzyme_balanced_core,site
0.036916021160358234,0.00367802431369655,0.907,12,2,999,enzyme_balanced_core,urban
71.40638522856877,0.9049506579439079,0.001,18,3,999,enzyme_all_samples,season
0.22927503487712758,0.13829690501025224,0.998,18,8,999,enzyme_all_samples,site
0.12565590888910014,0.007792297541201634,0.928,18,2,999,enzyme_all_samples,urban
12.50264659517793,0.7353353211919237,0.001,12,3,999,genus_balanced_core,season
0.21833483127275383,0.07567927830494958,0.996,12,4,999,genus_balanced_core,site
0.2582794880183848,0.025177661450933742,0.904,12,2,999,genus_balanced_core,urban
16.84344572896946,0.6919088577885765,0.001,18,3,999,genus_all_samples,season
0.363544398541327,0.20285764627559066,1.0,18,8,999,genus_all_samples,site
0.2976282040966696,0.018262056316995623,0.952,18,2,999,genus_all_samples,urban
