feature,spearman_rho_vs_latitude,p_value,q_value
total_hits_cpm,-0.040626785396010855,0.872837156140135,0.9640063333816167
AlkB,-0.011458836906567165,0.9640063333816167,0.9640063333816167
Cutinase_like,-0.16459056647614656,0.5139876202586545,0.8566460337644242
MHETase_like,-0.30105489690890097,0.22475358415619762,0.561883960390494
PETase_like,-0.37364676186393825,0.12666479455383647,0.561883960390494
