run_accession,AlkB,Cutinase_like,MHETase_like,PETase_like
SRR28636381,80.23076923076924,60.92307692307692,13.076923076923077,0.6923076923076923
SRR23961995,162.6153846153846,169.76923076923077,18.0,0.46153846153846156
SRR28636387,73.42307692307692,61.38461538461539,3.423076923076923,0.15384615384615385
SRR23872597,191.8076923076923,156.26923076923077,16.76923076923077,0.8461538461538461
SRR28636386,76.8076923076923,62.53846153846153,4.538461538461539,0.15384615384615385
SRR28925923,372.42307692307696,276.1538461538462,20.538461538461537,1.3461538461538463
SRR23872596,279.53846153846155,196.3846153846154,23.730769230769234,1.3076923076923077
SRR28636385,30.0,52.07692307692308,5.346153846153846,0.23076923076923078
SRR28925922,228.03846153846155,249.96153846153848,16.692307692307693,0.3076923076923077
SRR23872595,327.7692307692308,223.76923076923075,30.807692307692307,2.0384615384615388
SRR28636384,55.38461538461539,51.57692307692307,4.769230769230769,0.2692307692307692
SRR28956463,196.92307692307693,235.53846153846155,24.76923076923077,1.2692307692307692
SRR28636380,76.11538461538461,61.57692307692308,12.923076923076923,0.34615384615384615
SRR23872594,257.2307692307692,188.1153846153846,23.153846153846153,1.4615384615384617
SRR28636383,48.26923076923077,61.26923076923077,9.153846153846153,0.6538461538461539
SRR28956462,238.34615384615384,214.3076923076923,22.0,1.7307692307692308
SRR23872593,264.2307692307692,250.26923076923077,36.69230769230769,1.6923076923076923
SRR28636382,51.269230769230774,62.34615384615385,9.615384615384615,0.4230769230769231
