run_accession,SRR28636381,SRR23961995,SRR28636387,SRR23872597,SRR28636386,SRR28925923,SRR23872596,SRR28636385,SRR28925922,SRR23872595,SRR28636384,SRR28956463,SRR28636380,SRR23872594,SRR28636383,SRR28956462,SRR23872593,SRR28636382
SRR28636381,0.0,0.3882889733840304,0.05953317597692112,0.4048463356973995,0.04721471761224754,0.6246039142590868,0.5275904532926758,0.2773109243697479,0.5244407622203812,0.5808968889813756,0.16080691642651296,0.494889961753088,0.017226203948195705,0.5041546131593524,0.13223951759921476,0.509199463872304,0.5622452860946586,0.12246306778958999
SRR23961995,0.3882889733840304,0.0,0.43427672955974844,0.06183574879227051,0.4178907282194762,0.3129472019281464,0.17623154377568065,0.6002105078501886,0.17388141142233543,0.24971212370455667,0.5160378926375271,0.13301335360927627,0.3983291178048593,0.14511972259969075,0.4931697341513292,0.1517574855867584,0.2235604545261097,0.47880359893004787
SRR28636387,0.05953317597692112,0.43427672955974844,0.0,0.4509385014497177,0.020019065776930398,0.6578221588207324,0.5671058172411718,0.24213033860813338,0.5630313334952635,0.6170710940825883,0.11705069124423964,0.5363103292737936,0.043466702113518545,0.5450464689890624,0.12222056409491121,0.5497997997997999,0.5996216547042786,0.11287244972846029
SRR23872597,0.4048463356973995,0.06183574879227051,0.4509385014497177,0.0,0.4348449407681279,0.2941351150705272,0.15608219056494918,0.6133027912106557,0.1516668156224864,0.23018379078617118,0.5310789049919484,0.11260441457837513,0.4156182535546787,0.12477562479863766,0.5078899373562762,0.13145153923449346,0.20378511912238836,0.49461604967381906
SRR28636386,0.04721471761224754,0.4178907282194762,0.020019065776930398,0.4348449407681279,0.0,0.6463143976956132,0.5533691115086463,0.250996015936255,0.5492025278362925,0.6045197740112993,0.12783536127384706,0.5218945487042003,0.03468057366362448,0.5308193435229267,0.13259345794392524,0.5356766474490112,0.5866445916114791,0.1160919540229885
SRR28925923,0.6246039142590868,0.3129472019281464,0.6578221588207324,0.2941351150705272,0.6463143976956132,0.0,0.15014610762714656,0.768758561209477,0.1505511187380371,0.08606632746888988,0.7137239480928037,0.19524409770721904,0.6324390129699865,0.1806009915348555,0.6977842707572437,0.17244617345227722,0.12308611311975354,0.6885746113236789
SRR23872596,0.5275904532926758,0.17623154377568065,0.5671058172411718,0.15608219056494918,0.5533691115086463,0.15014610762714656,0.0,0.7021693674856248,0.11357404904421706,0.07686310641766185,0.6345610842693103,0.1280365589673695,0.5368731563421829,0.032245286008556515,0.615203373015873,0.06268938648616741,0.07832116788321172,0.604064039408867
SRR28636385,0.2773109243697479,0.6002105078501886,0.24213033860813338,0.6133027912106557,0.250996015936255,0.768758561209477,0.7021693674856248,0.0,0.6991220542610074,0.739140388027242,0.1327297245232133,0.6790140845070421,0.26531270148291425,0.6856118085253138,0.1531029357116313,0.6891919536310945,0.7263119971178096,0.170367673825992
SRR28925922,0.5244407622203812,0.17388141142233543,0.5630313334952635,0.1516668156224864,0.5492025278362925,0.1505511187380371,0.11357404904421706,0.6991220542610074,0.0,0.13134264538198404,0.6309719934102141,0.05723851397684645,0.532718070854421,0.10223603969867276,0.6125962561823077,0.05424453595185304,0.055239493485043124,0.6006216972334474
SRR23872595,0.5808968889813756,0.24971212370455667,0.6170710940825883,0.23018379078617118,0.6045197740112993,0.08606632746888988,0.07686310641766185,0.739140388027242,0.13134264538198404,0.0,0.6783386722633382,0.1432786280656463,0.5894136722631935,0.10852515230000366,0.6608187134502923,0.1018129079042785,0.08464946396563973,0.6507143245151827
