run_accession,SRR28636381,SRR23961995,SRR28636387,SRR23872597,SRR28636386,SRR28925923,SRR23872596,SRR28636385,SRR28925922,SRR23872595,SRR28636384,SRR28956463,SRR28636380,SRR23872594,SRR28636383,SRR28956462,SRR23872593,SRR28636382
SRR28636381,0.0,0.429353612167298,0.2816679779701028,0.44163711583924203,0.317895278528238,0.6448275862068971,0.5512812994780969,0.4123989218328844,0.5624334240738545,0.5984809072937265,0.380115273775215,0.5224778983008335,0.1877279014208484,0.5322213331691998,0.26714345814051377,0.5327159741683931,0.5843069064826382,0.3709788761562884
SRR23961995,0.429353612167298,0.0,0.4984276729559731,0.15394524959742276,0.5150384705059436,0.3942155607441434,0.23754910371607757,0.6233663713709305,0.29819934521644104,0.2975818391182748,0.5823500083097871,0.18205579052416357,0.42408216448225416,0.22721521953048068,0.5203271983640066,0.19750790403570667,0.2624590373239125,0.551592769717109
SRR28636387,0.2816679779701028,0.4984276729559731,0.0,0.5229665801922776,0.22511235189976925,0.6914883499762239,0.6170366359862828,0.3762123532414503,0.6197473888753945,0.657939548744146,0.35545314900153624,0.585153682582641,0.2710354911604416,0.60245305683758,0.3078644978361445,0.5888388388388388,0.6454682023034545,0.3970350799941287
SRR23872597,0.44163711583924203,0.15394524959742276,0.5229665801922776,0.0,0.5403304912095361,0.37928730512249426,0.2135978342874885,0.6424874862136242,0.30762355885244363,0.26718484333252274,0.5904991948470196,0.2134023986186931,0.4410779423807027,0.21572237308418027,0.5418285623661868,0.21165616150543376,0.248503119373612,0.5529356283895281
SRR28636386,0.317895278528238,0.5150384705059436,0.22511235189976925,0.5403304912095361,0.0,0.6956131652264248,0.6316040548598689,0.41865869853917664,0.6262413481793563,0.6689371138919689,0.3747934505032294,0.5984935529171458,0.3254237288135589,0.6142570784264597,0.3618574766355147,0.6025044944516771,0.6538631346578356,0.39195402298850546
SRR28925923,0.6448275862068971,0.3942155607441434,0.6914883499762239,0.37928730512249426,0.6956131652264248,0.0,0.30538135732344046,0.7849931510324192,0.2710052141772825,0.2979219027769277,0.7233582383012193,0.3406466119306376,0.654071264690734,0.3577956898586898,0.7206720233747269,0.30122744650882083,0.2956267488288748,0.7060105584346391
SRR23872596,0.5512812994780969,0.23754910371607757,0.6170366359862828,0.2135978342874885,0.6316040548598689,0.30538135732344046,0.0,0.71955044432828,0.29615755937439675,0.12874304546582022,0.6806174311350945,0.21342098933696677,0.5535103244837758,0.1788147678656306,0.6364087301587313,0.18452638621069517,0.14525547445255393,0.6464285714285718
SRR28636385,0.4123989218328844,0.6233663713709305,0.3762123532414503,0.6424874862136242,0.41865869853917664,0.7849931510324192,0.71955044432828,0.0,0.7215657799194657,0.7542494133806433,0.3246002696975548,0.6957746478873241,0.3765312701482917,0.7034073665333146,0.2761055369751031,0.7036481418342992,0.7378407589768214,0.36330542409901767
SRR28925922,0.5624334240738545,0.29819934521644104,0.6197473888753945,0.30762355885244363,0.6262413481793563,0.2710052141772825,0.29615755937439675,0.7215657799194657,0.0,0.31292759407069576,0.6653149157267769,0.2771570327941586,0.5610598392378693,0.3119693889752483,0.6373880924059352,0.2953753563509656,0.2706184621031378,0.6318308983525018
SRR23872595,0.5984809072937265,0.2975818391182748,0.657939548744146,0.26718484333252274,0.6689371138919689,0.2979219027769277,0.12874304546582022,0.7542494133806433,0.31292759407069576,0.0,0.7164475864354348,0.25251705697953064,0.6023850619802296,0.2219749753766451,0.6775427665737549,0.2240029006526461,0.14633568940444366,0.6825465804769402
SRR28636384,0.380115273775215,0.5823500083097871,0.35545314900153624,0.5904991948470196,0.3747934505032294,0.7233582383012193,0.6806174311350945,0.3246002696975548,0.6653149157267769,0.7164475864354348,0.0,0.6571158902447247,0.3672663448881085,0.6610931200845942,0.34231088944306,0.6650542554582303,0.7044021519060553,0.29198629019095873
SRR28956463,0.5224778983008335,0.18205579052416357,0.585153682582641,0.2134023986186931,0.5984935529171458,0.3406466119306376,0.21342098933696677,0.6957746478873241,0.2771570327941586,0.25251705697953064,0.6571158902447247,0.0,0.5227817745803359,0.23007456503728174,0.6080937167199143,0.15925453573044704,0.1820048676604797,0.6296247357293869
SRR28636380,0.1877279014208484,0.42408216448225416,0.2710354911604416,0.4410779423807027,0.3254237288135589,0.654071264690734,0.5535103244837758,0.3765312701482917,0.5610598392378693,0.6023850619802296,0.3672663448881085,0.5227817745803359,0.0,0.5315906838453911,0.23648264086511214,0.5344246214211262,0.5844808743169392,0.35462184873949576
SRR23872594,0.5322213331691998,0.22721521953048068,0.60245305683758,0.21572237308418027,0.6142570784264597,0.3577956898586898,0.1788147678656306,0.7034073665333146,0.3119693889752483,0.2219749753766451,0.6610931200845942,0.23007456503728174,0.5315906838453911,0.0,0.6155854327111345,0.22324730745783292,0.21704143791832659,0.6231696255021382
SRR28636383,0.26714345814051377,0.5203271983640066,0.3078644978361445,0.5418285623661868,0.3618574766355147,0.7206720233747269,0.6364087301587313,0.2761055369751031,0.6373880924059352,0.6775427665737549,0.34231088944306,0.6080937167199143,0.23648264086511214,0.6155854327111345,0.0,0.6196010071663759,0.6573978716100236,0.34188034188034244
SRR28956462,0.5327159741683931,0.19750790403570667,0.5888388388388388,0.21165616150543376,0.6025044944516771,0.30122744650882083,0.18452638621069517,0.7036481418342992,0.2953753563509656,0.2240029006526461,0.6650542554582303,0.15925453573044704,0.5344246214211262,0.22324730745783292,0.6196010071663759,0.0,0.19076267703000524,0.6264342029357092
SRR23872593,0.5843069064826382,0.2624590373239125,0.6454682023034545,0.248503119373612,0.6538631346578356,0.2956267488288748,0.14525547445255393,0.7378407589768214,0.2706184621031378,0.14633568940444366,0.7044021519060553,0.1820048676604797,0.5844808743169392,0.21704143791832659,0.6573978716100236,0.19076267703000524,0.0,0.6662876634451391
SRR28636382,0.3709788761562884,0.551592769717109,0.3970350799941287,0.5529356283895281,0.39195402298850546,0.7060105584346391,0.6464285714285718,0.36330542409901767,0.6318308983525018,0.6825465804769402,0.29198629019095873,0.6296247357293869,0.35462184873949576,0.6231696255021382,0.34188034188034244,0.6264342029357092,0.6662876634451391,0.0
